"Poison Fang Dagger" src="//i.imgur.com/DjsPr2i.png" 
"Heartfind Dagger" src="//i.imgur.com/zz68YPe.png" 
"Bone Dagger" src="//i.imgur.com/yuTbXQG.png" 
"Mister Mango" src="//i.imgur.com/RfU7wfL.png" 
"Spirit Dagger" src="//i.imgur.com/VKZyp0S.png" 
"Corruption Cutter" src="//i.imgur.com/WiuoSvn.png" 
"Queen's Stinger" src="//i.imgur.com/Bjlfsca.png" 
"Dueling Daggers" src="//i.imgur.com/j02GzKq.png" 
"Corrosion Cutter" src="//i.imgur.com/NSAUa7q.png" 
"Dirk of Cronus" src="//i.imgur.com/6J66iJi.png" 
"Avarice" src="//i.imgur.com/vHD1WOk.png" 
"Bramble Bow" src="//i.imgur.com/e9kBTMN.png" 
"Cupid's Bow" src="//i.imgur.com/PvHSyk5.png" 
"Butter Bow" src="//i.imgur.com/pPYEHGW.png" 
"Coral Bow" src="//i.imgur.com/jNzGW6I.png" 
"Doom Bow" src="//i.imgur.com/3GjgWJy.png" 
"Leaf Bow" src="//i.imgur.com/HTra5EH.png" 
"Thousand Shot" src="//i.imgur.com/1cji9i9.png" 
"B.O.W." src="//i.imgur.com/PAbHAe3.png" 
"Sun's Judgement" src="//i.imgur.com/L09wXL9.png" 
"Blazon Bow" src="//i.imgur.com/xq24Gx6.png" 
"Bow of the Void" src="//i.imgur.com/4l5NPeH.png" 
"Staff of Adoration" src="//i.imgur.com/fCVI394.png" 
"Staff of the Crystal Serpent" src="//i.imgur.com/E3rQtUJ.png" 
"K.I.D.D. Force" src="//i.imgur.com/SGuH4eT.png" 
"Spirit Staff" src="//i.imgur.com/6GDdhQb.png" 
"Staff of Extreme Prejudice" src="//i.imgur.com/AyOQRFj.png" 
"Staff of Esben" src="//i.imgur.com/LBDSDfB.png" 
"Tezcacoatl's Tail" src="//i.imgur.com/IFRn3wz.png" 
"S.T.A.F.F." src="//i.imgur.com/Gx4CCtY.png" 
"Foramite Staff" src="//i.imgur.com/2OlTVYj.png" 
"Comet of Calamity" src="//i.imgur.com/TaBAF5v.png" 
"Staff of Unholy Sacrifice" src="//i.imgur.com/jsi1jrb.png" 
"Superior" src="//i.imgur.com/y0Svuxi.png" 
"Sprite Wand" src="//i.imgur.com/MkhMJy0.png" 
"Wand of Budding Romance" src="//i.imgur.com/2H0psYt.png" 
"Caduceus of Current Craziness" src="//i.imgur.com/wB4ufJ9.png" 
"St. Abraham's Wand" src="//i.imgur.com/eIwOcdN.png" 
"Crystal Wand" src="//i.imgur.com/k6tGqcD.png" 
"Wand of the Bulwark" src="//i.imgur.com/FVbME6f.png" 
"Wand of the Fallen" src="//i.imgur.com/Y0owA0u.png" 
"Conducting Wand" src="//i.imgur.com/No94h3g.png" 
"Soul's Guidance" src="//i.imgur.com/dBfapRh.png" 
"Warlord Wand" src="//i.imgur.com/oHxRWib.png" 
"Snowblind Wand" src="//i.imgur.com/uMVLXLF.png" 
"Lumiaire" src="//i.imgur.com/XTQGS8H.png" 
"Vinesword" src="//i.imgur.com/YRRgWIG.png" 
"MMace MMurderer" src="//i.imgur.com/fBucIXN.png" 
"Crystal Sword" src="//i.imgur.com/A4fzD3u.png" 
"Arcane Rapier" src="//i.imgur.com/egM20KP.png" 
"Demon Blade" src="//i.imgur.com/UcQg1tr.png" 
"Ancient Stone Sword" src="//i.imgur.com/6OqxEzV.png" 
"Pirate King's Cutlass" src="//i.imgur.com/WkV86TU.png" 
"Acidic Slasher" src="//i.imgur.com/zy2z5qT.png" 
"Gaseous Glaive" src="//i.imgur.com/WpFzTRs.png" 
"Sword of the Colossus" src="//i.imgur.com/u1d1yCc.png" 
"Divinity" src="//i.imgur.com/iqtgZAF.png" 
"Diamond Bladed Katana" src="//i.imgur.com/JAEGnTN.png" 
"Blade of Ages" src="//i.imgur.com/cECuG9C.png" 
"Void Blade" src="//i.imgur.com/tJprB54.png" 
"Doku No Ken" src="//i.imgur.com/41CRVHl.png" 
"Celestial Blade" src="//i.imgur.com/jrQPa94.png" 
"Fire Blade" src="//i.imgur.com/FPoFV8M.png" 
"Moonbeam Blade" src="//i.imgur.com/rHFb2yZ.png" 
"Ray Katana" src="//i.imgur.com/dABfBfS.png" 
"Enforcer" src="//i.imgur.com/Ooq9643.png" 
"Toy Knife" src="//i.imgur.com/gjdeusu.png" 
"Sunshine Shiv" src="//i.imgur.com/wfYCM0G.png" 
"Prismatic Slasher" src="//i.imgur.com/jDclh2c.png" 
"Dagger of the Terrible Talon" src="//i.imgur.com/NHXNRO3.png" 
"An Icicle" src="//i.imgur.com/RNM3kQj.png" 
"Dagger of the Hasteful Rabbit" src="//i.imgur.com/gUKhV7g.png" 
"Dagger of the Amethyst Prism" src="//i.imgur.com/yXNi8Za.png" 
"Frost Lich's Finger" src="//i.imgur.com/Kt8Py9z.png" 
"Spatula Dagger" src="//i.imgur.com/XL4S8YJ.png" 
