"Health Potion" src="//i.imgur.com/XR0VfQR.png"
"Magic Potion" src="//i.imgur.com/XosNxUP.png"
"Elixir of Health" src="//i.imgur.com/WONWdrR.png"
"Elixir of Magic" src="//i.imgur.com/vmYTqXf.png"
"Minor Health Potion" src="//i.imgur.com/Sy9nCWm.png"
"Minor Magic Potion" src="//i.imgur.com/FsrI6Me.png"
"Healing Ichor" src="//i.imgur.com/UTdFuVV.png"
"Pollen Powder" src="//i.imgur.com/Z7plhEm.png"
"Cactus Juice" src="//i.imgur.com/e8EnrRy.png"
"Snake Oil" src="//i.imgur.com/pjKtGQI.png"
"Holy Water" src="//i.imgur.com/WwjTAxy.png"
"Coral Juice" src="//i.imgur.com/BITmjIm.png"
"Fire Water" src="//i.imgur.com/YEdNfIs.png"
"Cream Spirit" src="//i.imgur.com/tBkrxUa.png"
"Chardonnay" src="//i.imgur.com/YYA0VBM.png"
"Melon Liqueur" src="//i.imgur.com/fB6Wh4W.png"
"Cabernet" src="//i.imgur.com/RhhtO86.png"
"Vintage Port" src="//i.imgur.com/txYtiyI.png"
"Sauvignon Blanc" src="//i.imgur.com/eBq3dJu.png"
"Muscat" src="//i.imgur.com/KdTSBUf.png"
"Rice Wine" src="//i.imgur.com/VE5mCEl.png"
"Shiraz" src="//i.imgur.com/QwQuyA4.png"
"Cerveza" src="//i.imgur.com/MlqJ3jc.png"
"White Drake Egg" src="//i.imgur.com/Y0313GH.png"
"Purple Gumball" src="//i.imgur.com/q1UAq3b.png"
"Blue Gumball" src="//i.imgur.com/GZPSRkR.png"
"Green Gumball" src="//i.imgur.com/bkcxezK.png"
"Yellow Gumball" src="//i.imgur.com/yc1Y7jO.png"
"Red Gumball" src="//i.imgur.com/PLjW3M9.png"
"Tincture of Life" src="//i.imgur.com/LlWxqMW.png"
"Effusion of Life" src="//i.imgur.com/puIlgLb.png"
"Tincture of Mana" src="//i.imgur.com/ahxkZCO.png"
"Effusion of Mana" src="//i.imgur.com/spV01d1.png"
"Tincture of Attack" src="//i.imgur.com/LPENu5N.png"
"Effusion of Attack" src="//i.imgur.com/cpgCL1x.png"
"Tincture of Defense" src="//i.imgur.com/kNog4WK.png"
"Effusion of Defense" src="//i.imgur.com/3R63jVU.png"
"Tincture of Speed" src="//i.imgur.com/rv1Tyi8.png"
"Effusion of Speed" src="//i.imgur.com/331kDkH.png"
"Tincture of Dexterity" src="//i.imgur.com/4buXxVL.png"
"Effusion of Dexterity" src="//i.imgur.com/Gbm2dpl.png"
