"Cloak of Shadows" src="//i.imgur.com/EZZo2nl.png" 
"Magic Quiver" src="//i.imgur.com/veWybnl.png" 
"Fire Spray Spell" src="//i.imgur.com/PRhxiRI.png" 
"Healing Tome" src="//i.imgur.com/XyNlsZA.png" 
"Combat Helm" src="//i.imgur.com/y23fV83.png" 
"Wooden Shield" src="//i.imgur.com/WionXcK.png" 
"Seal of the Initiate" src="//i.imgur.com/jYoZFvx.png" 
"Centipede Poison" src="//i.imgur.com/kkaRsxj.png" 
"Necrotic Skull" src="//i.imgur.com/uCLuH75.png" 
"Hunting Trap" src="//i.imgur.com/zZpw5Js.png" 
"Stasis Orb" src="//i.imgur.com/ocEsi2z.png" 
"Decoy Prism" src="//i.imgur.com/dS5GX7c.png" 
"Lightning Scepter" src="//i.imgur.com/XBaCvMb.png" 
"Basic Star" src="//i.imgur.com/O73n6I1.png" 
"Simple Wakizashi" src="//i.imgur.com/dqX9WWY.png" 
"Novice's Lute" src="//i.imgur.com/AQ1NBE2.png" 
"Summoning Mace" src="//i.imgur.com/6xhzz0i.png" 
"Cloak of Darkness" src="//i.imgur.com/Og5MRjv.png" 
"Reinforced Quiver" src="//i.imgur.com/DXb4ldO.png" 
"Flame Burst Spell" src="//i.imgur.com/bmiCSD0.png" 
"Remedy Tome" src="//i.imgur.com/QtothQf.png" 
"Bronze Helm" src="//i.imgur.com/jRRrMof.png" 
"Iron Shield" src="//i.imgur.com/adoRynl.png" 
"Seal of the Pilgrim" src="//i.imgur.com/TedQ5FT.png" 
"Spider Venom" src="//i.imgur.com/c1YyVUz.png" 
"Breathtaker Skull" src="//i.imgur.com/PNf4pIa.png" 
"Wilderlands Trap" src="//i.imgur.com/wEtDQXM.png" 
"Suspension Orb" src="//i.imgur.com/THMGNSq.png" 
"Deception Prism" src="//i.imgur.com/EsbMgY2.png" 
"Discharge Scepter" src="//i.imgur.com/XBaCvMb.png" 
"Four Point Star" src="//i.imgur.com/C4aoo20.png" 
"Steel Wakizashi" src="//i.imgur.com/ftd8tJw.png" 
"Oakwood Lute" src="//i.imgur.com/FKcYtyt.png" 
"Ritual Mace" src="//i.imgur.com/ZBSJEbb.png" 
"Cloak of Speed" src="//i.imgur.com/7Zj6lxW.png" 
"Iron Quiver" src="//i.imgur.com/JARaXCR.png" 
"Fire Nova Spell" src="//i.imgur.com/yW8ww7i.png" 
"Spirit Salve Tome" src="//i.imgur.com/XlBEH1c.png" 
"Black Iron Helm" src="//i.imgur.com/iYNCa95.png" 
"Steel Shield" src="//i.imgur.com/r9jUoXK.png" 
"Seal of the Seeker" src="//i.imgur.com/EoTkHWV.png" 
"Pit Viper Poison" src="//i.imgur.com/2yTuYzh.png" 
"Heartstealer Skull" src="//i.imgur.com/VlOXpxq.png" 
"Deepforest Trap" src="//i.imgur.com/PVkvyuw.png" 
"Imprisonment Orb" src="//i.imgur.com/xCAf1Lh.png" 
"Illusion Prism" src="//i.imgur.com/Ah2oxmu.png" 
"Thunderclap Scepter" src="//i.imgur.com/eacntzC.png" 
"Spiral Shuriken" src="//i.imgur.com/PKdaeJA.png" 
"Crimson Wakizashi" src="//i.imgur.com/lKuSTVs.png" 
"Iron Lute" src="//i.imgur.com/OV2CQeK.png" 
"Disciple Mace" src="//i.imgur.com/r4ygaAF.png" 
"Cloak of the Night Thief" src="//i.imgur.com/PjM3yUA.png" 
"Elvencraft Quiver" src="//i.imgur.com/FcASXQv.png" 
"Scorching Blast Spell" src="//i.imgur.com/xKu6Js3.png" 
"Tome of Rejuvenation" src="//i.imgur.com/KzTtqZK.png" 
"Red Iron Helm" src="//i.imgur.com/p7jOh2O.png" 
"Reinforced Shield" src="//i.imgur.com/RbWYKQw.png" 
"Seal of the Aspirant" src="//i.imgur.com/Akq1Xjm.png" 
"Stingray Poison" src="//i.imgur.com/wntnV3N.png" 
"Soul Siphon Skull" src="//i.imgur.com/X0ZIfEp.png" 
"Savage Trap" src="//i.imgur.com/IUNXEoQ.png" 
"Neutralization Orb" src="//i.imgur.com/o3lcxd1.png" 
"Hallucination Prism" src="//i.imgur.com/zZy2veY.png" 
"Arcblast Scepter" src="//i.imgur.com/ANgqZtV.png" 
"Silver Star" src="//i.imgur.com/p8RrJCb.png" 
"Enforced Wakizashi" src="//i.imgur.com/uu1CI4M.png" 
"Silver Lute" src="//i.imgur.com/jEYKONZ.png" 
"Specialist Mace" src="//i.imgur.com/fBMPN61.png" 
"Cloak of the Red Agent" src="//i.imgur.com/zqlh62K.png" 
"Magesteel Quiver" src="//i.imgur.com/4mVXfZo.png" 
"Destruction Sphere Spell" src="//i.imgur.com/YnU6niN.png" 
"Tome of Renewing" src="//i.imgur.com/aJ7r9pF.png" 
"Steel Helm" src="//i.imgur.com/AUTLnFS.png" 
"Golden Shield" src="//i.imgur.com/JDli6fk.png" 
"Seal of the Divine" src="//i.imgur.com/aFrkfEy.png" 
"Felwasp Toxin" src="//i.imgur.com/rKl5kZ1.png" 
"Essence Tap Skull" src="//i.imgur.com/xiDxQBA.png" 
"Demonhunter Trap" src="//i.imgur.com/tQJ9cwB.png" 
"Timelock Orb" src="//i.imgur.com/vDkiw5y.png" 
"Prism of Figments" src="//i.imgur.com/Z4EjcqK.png" 
"Cloudflash Scepter" src="//i.imgur.com/w0XwkMZ.png" 
"Wind Circle" src="//i.imgur.com/bvWTLFT.png" 
"Turquoise Wakizashi" src="//i.imgur.com/wBTi8fX.png" 
"Battle Lute" src="//i.imgur.com/uK0VnFa.png" 
