"Lucky Sapling Priest Skin" src="//i.imgur.com/yE2P1Fu.png"
"Beefcake Rogue Skin" src="//i.imgur.com/yoWKe6P.png"
"Beachcake Rogue Skin" src="//i.imgur.com/nlaz8bB.png"
"Cheesecake Rogue Skin" src="//i.imgur.com/MUsXRTG.png"
"Antlered Behemoth Wizard Skin" src="//i.imgur.com/rEOqYuV.png"
"Olive Gladiator Skin" src="//static.drips.pw/rotmg/wiki/Skins/Olive%20Gladiator.png"
"Ivory Gladiator Skin" src="//static.drips.pw/rotmg/wiki/Skins/Ivory%20Gladiator.png"
"Beefcake Brutus Warrior Skin" src="//i.imgur.com/dUCEVNN.png"
"Decapod Crustacean Warrior Skin" src="//i.imgur.com/Fmi8WK0.png"
"Beefcake Construction Knight Skin" src="//i.imgur.com/cWT81uB.png"
"Big Monster Knight Skin" src="//i.imgur.com/PjJoFlJ.png"
"Beefcake Paladin Skin" src="//i.imgur.com/7ikNf3t.png"
"Beachcake Paladin Skin" src="//i.imgur.com/3fQRByR.png"
"Djinja Skin" src="//static.drips.pw/rotmg/wiki/Skins/Djinja.png"
"Rosen Blade Skin" src="//static.drips.pw/rotmg/wiki/Skins/Rosen%20Blade.png"
"Bandit Skin" src="//i.imgur.com/W3ADIHK.png"
"Brigand Skin" src="//i.imgur.com/NXKUr5d.png"
"Eligible Bachelor Skin" src="//i.imgur.com/Tt3tc2V.png"
"Platinum Rogue Skin" src="//i.imgur.com/b0zWCPQ.png"
"Slime Rogue Skin" src="//i.imgur.com/itkZunc.png"
"Jack the Ripper Skin" src="//i.imgur.com/Wlo4XJa.png"
"Mini Skuld Skin" src="//i.imgur.com/W5osRMT.png"
"Snowcloaked Rogue Skin" src="//i.imgur.com/AJq8ror.png"
"Rogue - Artist Extraodrinaire Skin" src="//i.imgur.com/3fcD3ic.png"
"Rogue - Dungeon Mastermind Skin" src="//i.imgur.com/woHEUtl.png"
"Rogue - Future Seeker Tester Skin" src="//i.imgur.com/amK6fp8.png"
"Sheep Rogue Skin" src="//i.imgur.com/L6VKnln.png"
"Red Outlaw Skin" src="//i.imgur.com/5OgWZ37.png"
"Thief Queen Skin" src="//i.imgur.com/3TStlLZ.png"
"Twilight Acolyte Rogue Skin" src="//i.imgur.com/9kC2nBP.png"
"Ordinary Box Rogue Skin" src="//i.imgur.com/uyDwkwx.png"
"Stone Rogue Skin" src="//i.imgur.com/4E3tQBh.png"
"Bruno the Rogue Steward Skin" src="//i.imgur.com/OVJwFTr.png"
"Turkey Rogue Skin" src="//i.imgur.com/xgPlwyd.png"
"Heartless Dodger Rogue Skin" src="//i.imgur.com/s7wzGD4.png"
"Barefoot Rogue Skin" src="//i.imgur.com/3Y97KfA.png"
"Oryxmas Rogue Skin" src="//i.imgur.com/Fxs4sm9.png"
"Roguish Business Partner Skin" src="//i.imgur.com/bJcSFIu.png"
"Lone Rogue Skin" src="//i.imgur.com/0jFeDwP.png"
"Raccoon Rogue Skin" src="//i.imgur.com/hHek0TM.png"
"King of Thieves Rogue Skin" src="//i.imgur.com/eU5nfz5.png"
"Dapper Disguiser Rogue Skin" src="//i.imgur.com/JYtjYnI.png"
"Lil Beach Rogue Skin" src="//i.imgur.com/35CPioY.png"
"Wererat Rogue Skin" src="//i.imgur.com/CZVp8E1.png"
"Cloaked Ascendant Rogue Skin" src="//i.imgur.com/YX76NK3.png"
"Little Prince Rogue Skin" src="//i.imgur.com/MyHV1ZY.png"
"Masked Rogue Skin" src="//i.imgur.com/QCch3jN.png"
"Vampire Beast Rogue Skin" src="//i.imgur.com/M2dxXzu.png"
"Rogue - Supporter Extraordinaire Skin" src="//i.imgur.com/fS0X8Vi.png"
"Ankou Rogue Skin" src="//i.imgur.com/85zwdAX.png"
"Scorpion Hunter Rogue Skin" src="//i.imgur.com/ihz9zxW.png"
"Space Smuggler Rogue Skin" src="//i.imgur.com/zZi5FpY.png"
"Rogue - Cyber Cop Skin" src="//i.imgur.com/mBUt0hS.png"
"Exiled Princess Rogue Skin" src="//i.imgur.com/khuuOL4.png"
"Shadow Stalker Rogue Skin" src="//i.imgur.com/UsdnhmM.png"
"Mystery Rogue Skin" src="//i.imgur.com/TStbe5Q.png"
"The 10th Rogue Skin" src="//i.imgur.com/kvPkKvm.png"
"Space Cowboy Rogue Skin" src="//i.imgur.com/dQ1l4Is.png"
"Western Miguel Rogue Skin" src="//i.imgur.com/9lIH9jX.png"
"Ghost Captain Rogue Skin" src="//i.imgur.com/aAf159B.png"
"Mushroom Girl Rogue Skin" src="//i.imgur.com/HFzvQZ2.png"
"Mini Vampire Rogue Skin" src="//i.imgur.com/rxWP43P.png"
"Construction Rogue Skin" src="//i.imgur.com/GOlKsKv.png"
"Exalted Rogue Skin" src="//i.imgur.com/0q3ielj.png"
"Rogue - Magnificent Maestro Skin" src="//i.imgur.com/hMmYR5Q.png"
"Chicken Suit Rogue Skin" src="//i.imgur.com/2AQ0sSL.png"
"Synthwave Rogue Skin" src="//i.imgur.com/beZ3wxx.png"
